Date,Close,High,Low,Open,Volume,SMA_20,SMA_50,EMA_20,RSI,EMA_12,EMA_26,MACD,MACD_Signal,BB_Mid,BB_Std,BB_High,BB_Low,Daily_Return,Volatility,Future_Return,Signal
2015-03-16,760.5422973632812,764.1994101585426,739.6510628415963,743.3081756368575,1287189,748.6270477294922,751.9134265136719,749.1218522576706,57.4789908364464,747.8585197317897,749.9742567057066,-2.11573697391691,-2.5873853312222708,748.6270477294922,12.493130450730723,773.6133086309537,723.6407868280307,0.029007911586442114,0.016125538223711586,-0.024343206354365376,0
2015-03-17,760.1309814453125,769.7766061022965,752.4510216010415,767.3994491013948,1384999,748.8396209716797,753.4174145507812,750.1767448481074,61.44451784041771,749.7469674866104,750.7417586157143,-0.9947911291038736,-2.268862853914825,748.8396209716797,12.65810807192949,774.1558371155386,723.5234048278207,-0.0005408192540963253,0.016111306551481325,-0.021770620265672336,1
2015-03-18,744.4055786132812,764.1996749955017,740.5655976868711,764.1996749955017,1172762,747.9276428222656,754.1332983398438,749.6240743289117,50.12327112057961,748.9250766193527,750.2636727705637,-1.3385961512110498,-2.0828078138756596,747.9276428222656,12.261966331809294,772.4515754858842,723.4037101586471,-0.020687754105392475,0.01663823872387794,-0.007001034162622988,1
2015-03-19,763.2393798828125,775.1706984456176,751.2623585736429,753.3651871343914,2037801,748.5562042236328,755.2267736816407,750.9272462915504,65.24522632573971,751.1275917031795,751.2413844993467,-0.1137927961672176,-1.6890019325942698,748.5562042236328,12.723367771381065,774.0029397663949,723.1094686808707,0.0253004569157258,0.017255999788103642,-0.04995212282147643,0
2015-03-20,740.519775390625,765.2509940866848,736.5426310075839,764.3367157186003,1245311,747.4522186279297,756.2041381835937,749.9315818087773,50.9314850008406,749.4954227072972,750.4345466799203,-0.9391239726231788,-1.5390254638366332,747.4522186279297,12.394379809229992,772.2409782463897,722.6634590094698,-0.029767337864138876,0.018174026787896154,-0.03926174242186964,0
2015-03-23,742.0282592773438,746.051106190797,736.451183868489,746.051106190797,759196,746.8076538085937,756.9337316894531,749.1758099029662,44.75646168727041,748.346510843697,749.8026899331292,-1.456179089432112,-1.5224561114640949,746.8076538085937,12.320588893035511,771.4488315946647,722.1664760225227,0.002037060908904209,0.018068228827464516,-0.005113185880095461,1
2015-03-24,743.5824584960938,749.2509945698747,738.3710615282126,740.2453765048929,755974,746.9767913818359,756.8048193359375,748.6411418583251,39.79582271512936,747.6135162878711,749.3356569987681,-1.7221407108969515,-1.562393180772982,746.9767913818359,12.248106355399832,771.4730040926356,722.4805786710363,0.0020945283408257964,0.017523083000645766,-0.0024590295131969864,1
2015-03-25,739.1939697265625,747.2853099681856,733.7083001924136,744.0396333211041,834390,747.3859252929688,756.7316809082031,747.7384049876596,38.75187260029879,746.3181065862638,748.5749572426739,-2.2568506564101654,-1.7012850916254854,747.3859252929688,11.815764206729062,771.0174537064269,723.7543968795106,-0.005901818580291707,0.017332442251149695,0.01632654207092199,1
2015-03-26,725.1139526367188,745.9595383573055,720.451156558913,734.1653283208212,1516627,746.437353515625,756.4637939453125,745.5771836204774,35.24927424749241,743.0557269418405,746.8168531028183,-3.761126160977824,-2.1132542919662067,746.437353515625,12.814023659228937,772.0654008340829,720.8093061971671,-0.019047797555832524,0.017372513365998186,0.03959178695226284,2
2015-03-27,711.4456787109375,725.0226890921084,702.2571371890281,725.0226890921084,1557785,745.8087829589844,755.4452917480469,742.3176787314671,36.931694040059455,738.192387654383,744.1685191863539,-5.976131531970964,-2.8858312199305294,745.8087829589844,14.20458026218711,774.2179434833586,717.3996224346101,-0.018849828880108555,0.0168234241962072,0.07331495361402895,2
2015-03-30,738.234130859375,740.336960091724,713.1828795087779,713.2285822697388,847421,745.8225006103515,754.8016394042969,741.9278078441363,49.84043659265326,738.1988099707935,743.7245502937735,-5.5257403229800275,-3.4138138496714547,745.8225006103515,14.196731680105659,774.2159639705628,717.4290372501403,0.03765354537956478,0.018403101339919906,0.04879544230170785,2
2015-03-31,741.7539672851562,746.9653647112069,733.2968930824895,738.6454545736146,947718,745.1687866210938,754.28873046875,741.9112145728982,50.72148445977902,738.7457777790811,743.5772340769479,-4.831456297866794,-3.697342686915866,745.1687866210938,14.060581840292121,773.289950301678,717.0476229405095,0.004767913428337156,0.01765927267387994,0.05158407908830287,2
2015-04-01,751.262451171875,755.1024309926506,734.6225758172579,740.56538445797,898480,744.4099395751953,753.8910192871094,742.8036102428424,54.026070113832056,740.6714809967672,744.1513706044274,-3.4798896076601977,-3.653852028409218,744.4099395751953,13.237658375241363,770.885256325678,717.9346228247125,0.01281891881417252,0.017545133186181092,0.0459414670162952,2
2015-04-06,753.822509765625,760.1310527871564,748.7939787726463,757.9367623962439,687263,743.8476623535156,753.7557080078125,743.854949700546,54.69669616547537,742.6947705628122,744.8734119219714,-2.178641359159201,-3.3588096630578463,743.8476623535156,12.534147148831046,768.9159566511777,718.7793680558535,0.0034076754265524034,0.01756901872642424,0.04554278535472034,2
