Date,Close,High,Low,Open,Volume,SMA_20,SMA_50,EMA_20,RSI,EMA_12,EMA_26,MACD,MACD_Signal,BB_Mid,BB_Std,BB_High,BB_Low,Daily_Return,Volatility,Future_Return,Signal
2015-03-16,329.7210388183594,339.48364642846343,327.8534197847955,339.48364642846343,15605904,305.68596801757815,306.3850506591797,311.6710164998317,69.91281392605761,316.47728531236476,310.078508670112,6.398776642252756,1.716669204422719,305.68596801757815,15.68855375954453,337.0630755366672,274.3088604984891,-0.029606423964213868,0.025656420459997168,-0.013259536782534442,1
2015-03-17,328.15045166015625,333.1166538556731,321.7411144834585,332.9468834150936,13158523,307.02513732910154,306.7865887451172,313.2500727311569,72.29452977555668,318.27351538386256,311.44413106493005,6.829384318932512,2.739223902835349,307.02513732910154,16.42625670770607,339.8776507445137,274.1726239136894,-0.004763381687233892,0.025748329126201393,0.018885439875664378,1
2015-03-18,324.50018310546875,331.3340056302265,323.8635006715889,327.59873877819484,4777244,307.9122589111328,307.07861694335935,314.3274293846633,67.24758243387265,319.23162599052347,312.42925359486674,6.802372395656732,3.5518610243401483,307.9122589111328,16.88378592300182,341.6798307571365,274.1446870651292,-0.0111237651394972,0.02577601019680302,0.03335517682222755,2
2015-03-19,324.2454528808594,326.792239747864,322.3778340910881,325.13681966068447,4636137,309.1835189819336,307.5030767822266,315.2767206138515,66.7867917562248,320.0030941612343,313.3195971061383,6.683497055095984,4.178192807415948,309.1835189819336,17.11873227180102,343.42098352553563,274.9460544383316,-0.0007849925450630346,0.02488553383329067,0.04634134519229627,2
2015-03-20,322.80230712890625,329.21167415355825,320.5526615590256,323.439018254152,7256601,310.18312072753906,307.94621215820314,315.99668027325447,63.4749610136956,320.4337943623019,314.03320352467483,6.400590837627078,4.622675011904052,310.18312072753906,17.309623031780976,344.802366791101,275.5638746639771,-0.004450781773903234,0.02486602708443005,-0.009861796443914495,1
2015-03-23,325.3490905761719,330.9944041887076,320.8922277299515,325.9857729490221,3546841,311.6220413208008,308.4258526611328,316.8910242571234,69.04229573933067,321.1900711180202,314.8837596901974,6.306311427822834,4.959403869903095,311.6220413208008,17.31463657515612,346.25131447111306,276.99276817048855,0.007889607326284187,0.024220850231408787,0.016046935012619334,1
2015-03-24,334.34771728515625,336.59736332341873,323.9484258557816,324.11822510634084,8101985,313.59790802001953,308.9810485839844,318.5597082442818,72.25551794071514,323.21449954665536,316.3451698196869,6.869329726968488,5.341390470497721,313.59790802001953,17.55075607844878,348.6994201769171,278.49639586312196,0.02765837363506507,0.024592768386102585,-0.0013965983278790839,1
2015-03-25,335.3239440917969,337.4038194670027,328.4901212433424,328.53257823911576,11374656,315.84542694091795,309.64660278320315,320.1616366940877,72.01812520153013,325.07762742778607,317.7687148938213,7.308912533964758,5.734896061014494,315.84542694091795,17.296448493932736,350.4383239287834,281.2525299530525,0.0029197950402275463,0.024080289318284268,0.018481064844540374,1
2015-03-26,339.2714233398437,342.53977824991244,331.0793219404535,331.0793219404535,12656646,318.0122985839844,310.5074096679688,321.98711642639086,75.70789193949084,327.2614236297367,319.3800696235955,7.881354006141237,6.164188677991437,318.0122985839844,17.385082580821685,352.78246374562775,283.242133422341,0.011772136519323961,0.02394845050717114,0.0028775112109602485,1
2015-03-27,319.618896484375,343.38869042847875,315.0347196794429,340.41747696500056,9357286,319.1647094726562,311.02015869140627,321.76095515692117,63.84583432977842,326.08558858355156,319.39795122595785,6.687637357593701,6.268878614457967,319.1647094726562,16.636766366291074,352.4382422052384,285.89117674007406,-0.05792567691674699,0.02802542847473425,0.07503328472706516,2
2015-03-30,330.5699462890625,333.54115941429546,320.5526551547054,322.59007322393967,5166621,320.6163619995117,311.76041748046873,322.6019809748498,59.95359202106415,326.7755203721644,320.233760748825,6.541759623339431,6.323454899872173,320.6163619995117,16.28052051491779,353.17740302934726,288.05532096967613,0.03426283591221546,0.028706297001234605,0.0763997542123811,2
