Date,Close,High,Low,Open,Volume,SMA_20,SMA_50,EMA_20,RSI,MACD,MACD_Signal,BB_High,BB_Low,Daily_Return,Volatility,Future_Close,Future_Return,Signal
2015-03-16,379.7234497070313,382.01553710054,374.0887263638928,381.8245176738007,399268,397.1481460571289,388.92334533691405,392.01159976460826,41.11439787648698,-3.634381405680813,-0.4775173987388385,420.66092777464064,373.6353643396171,-0.0028841787198720104,0.0197519000636294,373.27691650390625,-0.016976916248124158,1
2015-03-17,386.2654724121094,387.5070112520786,378.00436308875544,381.06049905010315,562431,396.0856643676758,389.3941796875,391.46434954056076,46.04624690375942,-3.5699718783039884,-1.0960082946518686,419.54897997610647,372.62234875924514,0.017228387422808522,0.020248450143713247,369.83880615234375,-0.042526882242894075,0
2015-03-18,383.734619140625,388.6530928019867,382.01556077532575,388.6530928019867,309016,395.33595581054686,389.7570947265625,390.72818474056686,44.49372055406142,-3.6807165622348066,-1.6129499481684564,419.36492516791554,371.3069864531782,-0.00655210846488552,0.019776585630786665,372.89495849609375,-0.028247804873083142,0
2015-03-19,386.5997314453125,396.0546397832447,382.2065758627882,385.7879717042856,1023111,394.14454650878906,390.1180993652344,390.3349987124474,46.68527023417752,-3.4969808850290747,-1.9897561355405802,417.41307473261037,370.87601828496776,0.00746638995226423,0.01853380499668076,372.2263488769531,-0.03717897711574743,0
2015-03-20,375.0437316894531,389.4647936098282,373.2291347340158,387.3637258308285,461698,392.232080078125,390.50011352539065,388.8786875674003,39.85090816702961,-4.235022931730953,-2.438809494778655,415.1761294931309,369.2880306631192,-0.029891380712182558,0.01932455681736314,375.1870422363281,0.0003821168966867715,1
2015-03-23,373.27691650390625,378.7683895405703,367.6899337592494,376.7628022546075,498876,390.1071182250977,390.81050170898436,387.39280460897226,38.912956167865424,-4.905941154840377,-2.9322358267909996,411.7718941992475,368.44234225094783,-0.004710957779744618,0.01916094625599186,373.7544860839844,0.0012793975704445345,1
2015-03-24,369.83880615234375,378.1953963494593,368.2152283987147,373.4679422369017,408226,388.55518035888673,391.0845977783203,385.72099523215047,37.083843321620414,-5.64994638726057,-3.4757779388849137,411.3299222920137,365.78043842575977,-0.009210616032096719,0.01779702457735501,373.9931945800781,0.011232970576979156,1
2015-03-25,372.89495849609375,376.23759472079,367.68998471659097,370.6506112018455,636108,387.02711791992186,391.41981689453127,384.49946792395457,39.79299409699671,-5.924673987663766,-3.9655571486406846,409.6984513605499,364.35578447929385,0.008263471255342214,0.017857410946577074,372.84716796875,-0.00012816082989293252,1
2015-03-26,372.2263488769531,375.9987635577552,367.6899148624168,372.46510856192873,1419196,385.47517547607424,391.6671716308594,383.3305994432878,39.39334744256956,-6.125735137225433,-4.397592746357635,407.7334944623267,363.2168564898218,-0.0017930240243450024,0.017846996159878153,385.4537353515625,0.0355358682009423,2
2015-03-27,375.1870422363281,377.8133992431244,367.68998095146947,372.13090606113906,670005,384.00680389404295,392.06160217285156,382.5550225664345,42.16333792823956,-5.977272064627357,-4.713528610011579,404.86761680485483,363.14599098323106,0.007954013380051528,0.017976985181334885,388.3188171386719,0.03500060882718898,2
2015-03-30,373.7544860839844,379.5802293081345,369.7433109734614,377.2403723027503,420532,381.90572052001954,392.43884338378905,381.7168762347726,41.18255218323017,-5.907115765603521,-4.952246041129968,397.2900956558851,366.52134538415396,-0.0038182452778883214,0.016396548465573833,389.1305847167969,0.04113956943745531,2
2015-03-31,373.9931945800781,380.0576967027595,372.9903863670844,375.1869930630677,438421,380.90770416259767,392.7387255859375,380.9812875057541,41.427051221027725,-5.765790172485026,-5.1149548674009795,395.61098822706685,366.2044200981285,0.0006386772734017221,0.012059661919995445,381.9678649902344,0.021323036156073,2
2015-04-01,372.84716796875,376.5240734369884,369.93431108164367,373.80220683606007,452828,379.69002838134764,392.7998474121094,380.2066094546108,40.555422725110866,-5.680778908438469,-5.228119675608478,392.73448460018557,366.6455721625097,-0.0030642980351952565,0.011790245680836607,382.5408325195313,0.025999029585210037,2
2015-04-06,385.4537353515625,386.2177548718109,373.4202384620532,377.2403943542481,904638,379.31756591796875,392.9736657714844,380.706335730511,52.415767155283085,-4.543784321642704,-5.091252604815324,391.2058183546395,367.429313481298,0.03381162166657292,0.014223358581946859,396.1978759765625,0.027874008316978803,2
2015-04-07,388.3188171386719,392.2344824030083,383.4481129876911,386.313229647624,636179,379.35815277099607,393.2219757080078,381.43133395985967,54.631241918198754,-3.3726420461599105,-4.747530493084241,391.3629365299488,367.35336901204334,0.007433010824233532,0.014000854492450296,392.8552856445313,0.011682329842489764,1
2015-04-08,389.1305847167969,392.9029706252222,386.3132084972559,389.2738347128559,534912,379.72823028564454,393.23152526855466,382.16459593671084,55.26673913649486,-2.351889379123122,-4.268402270292017,392.4381820124032,367.01827855888587,0.0020904667564309865,0.013543929194495447,387.9845275878906,-0.002945173609882997,1
2015-04-09,381.9678649902344,391.5659954147712,380.2487772791756,391.5659954147712,756901,379.4679885864258,393.2353466796875,382.14585965609405,48.77468443473106,-2.0967372748272624,-3.8340692711990667,391.76396922394684,367.17200794890476,-0.018406982149129725,0.013833340397725699,377.2881164550781,-0.012251681264537516,1
2015-04-10,382.5408325195313,388.2710661110088,381.10827412166185,381.7290727437855,969396,379.5014144897461,393.2678173828125,382.18347611927857,49.28786120979863,-1.82723052667626,-3.4327015222945056,391.82695659007703,367.17587238941513,0.0015000411862176044,0.01348870417678783,377.192626953125,-0.013980744306905445,1
2015-04-13,396.1978759765625,399.6360216936428,382.9705819673005,382.9705819673005,1399618,379.9908721923828,393.5390478515625,383.5181808675913,59.661164419959555,-0.5058046160064578,-2.847322141036896,394.03269895155887,365.9490454332068,0.035700877647705465,0.015481294619540656,374.614013671875,-0.05447748111088893,0
2015-04-15,392.8552856445313,403.5994740435191,387.8413310583369,396.34117205155206,947070,380.592546081543,393.12074157714846,384.4074289415856,56.60904102589434,0.26861935721672126,-2.224133841386173,395.7148934104302,365.4701987526558,-0.008436668984638684,0.015213594504745612,378.29095458984375,-0.03707301794550845,0
2015-04-16,387.9845275878906,398.7287145057091,378.8161489222577,392.8552314863961,884632,381.00559997558594,392.44170959472655,384.74810500313845,52.40218322909251,0.48375009687930515,-1.6825570537330774,396.4581126215722,365.5530873295997,-0.012398351847677347,0.015509233513814868,385.3103942871094,-0.006892370985529765,1
2015-04-17,377.2881164550781,389.6081419298208,375.5690580446594,384.88068758295674,603542,380.5567321777344,391.7626776123047,384.0376299033232,44.56910965759688,-0.20648796209235343,-1.3873432354049327,395.89312363758967,365.2203407178791,-0.027569169315365127,0.01628646261284918,378.0998840332031,0.0021515853341796238,1
2015-04-20,377.192626953125,385.6446979407338,374.4229908139697,378.195406144561,934634,380.22963256835936,391.0320739746094,383.38572486044717,44.50515159007858,-0.7525370231280135,-1.260381992949549,395.56001332275605,364.8992518139627,-0.0002530943800995722,0.016235280205541946,369.12249755859375,-0.021395246931839293,0
2015-04-21,374.614013671875,383.352613897841,371.27137747595,382.97060416168733,657263,379.6303466796875,390.2670886230469,382.55032379486886,42.72223664108728,-1.3774786629209075,-1.2838013269438209,394.8545183467113,364.40617501266365,-0.006836330026065096,0.016169896418761043,368.7882385253906,-0.015551407405669508,1
2015-04-22,378.29095458984375,379.6280033637906,371.7011913039451,375.7123376257855,517359,379.792707824707,389.6186187744141,382.14466958486645,46.041670051920015,-1.5580903170184115,-1.3386591249587392,394.88645968439056,364.69895596502346,0.009815278616857492,0.014880217746574968,364.68157958984375,-0.03597594611997995,0
2015-04-23,385.3103942871094,386.456423296679,374.37518897146424,380.2009311595529,743194,380.3943817138672,389.34452270507813,382.44616717555624,51.78614390058921,-1.1218838557230129,-1.295304071111594,395.36004791348364,365.4287155142507,0.018555663602573658,0.015350521278197434,365.5888671875,-0.051183480622415074,0
2015-04-24,378.0998840332031,387.2682630441065,372.4651605109779,386.7907436075539,738949,380.8074356079102,388.94722717285157,382.0322354477131,46.32981481117028,-1.3425390546696008,-1.3047510678231955,395.0221329158065,366.5927383000139,-0.018713510875425388,0.015845078462973606,367.9287414550781,-0.02690067627006152,0
2015-04-27,369.12249755859375,380.7739826196667,365.77986174629086,380.7739826196667,947654,380.61881256103516,388.455380859375,380.80273660113033,40.59489891605318,-2.216262259172936,-1.4870533060931437,395.33959384377056,365.89803127829975,-0.023743425623005576,0.01669043038071208,367.116943359375,-0.0054333025282491555,1
2015-04-28,368.7882385253906,372.9904035500052,364.8248332083731,368.6449885299268,612828,380.44690704345703,387.70949462890627,379.6584986891551,40.39440296954829,-2.9022112196613534,-1.7700848888067857,395.6287713101103,365.26504277680374,-0.0009055504213748566,0.01668764613858044,366.161865234375,-0.0071216297502253514,1
2015-04-29,364.68157958984375,371.1280916309202,362.914751942084,370.45955279810136,866439,379.9216339111328,386.8614202880859,378.2321254416017,37.9166700660306,-3.7341587109746683,-2.1628996532403626,396.46132041187985,363.38194741038575,-0.011135547467477469,0.01673461553483536,352.93463134765625,-0.03221152067894204,0
2015-04-30,365.5888671875,369.4567920920385,362.8670297287736,363.2967797322957,2267714,379.5133529663086,386.04104187011717,377.02800560787773,38.809681521920986,-4.271038689700845,-2.5845274605324593,397.0168770157623,362.00982891685493,0.0024878898426310414,0.016743814559412432,337.7017822265625,-0.07627990746948816,0
2015-05-04,367.9287414550781,376.52409167726034,365.06362471435074,367.4989622857792,462963,379.2101303100586,385.2493145751953,376.1614090218968,41.160313332892734,-4.456341709355286,-2.9588903102970248,397.28640739590134,361.1338532242159,0.00640028862360853,0.016822356111467558,351.12005615234375,-0.045684621528233105,0
