Date,Close,High,Low,Open,Volume,SMA_20,SMA_50,EMA_20,RSI,EMA_12,EMA_26,MACD,MACD_Signal,BB_Mid,BB_Std,BB_High,BB_Low,Daily_Return,Volatility,Future_Return,Signal
2015-03-16,130.55361938476562,133.40803719280996,129.46150340011408,132.7428355563597,8266110,133.76769943237304,132.86197891235352,134.08214674290772,49.6641475676965,134.47042147556346,133.82430837739759,0.6461130981658698,1.0196750428549788,133.76769943237304,3.89312636473135,141.55395216183572,125.98144670291033,-0.01960860254875396,0.018449731293892303,0.015894063110612144,1
2015-03-17,133.0059356689453,133.72078237263844,130.36994413015847,131.55142729736102,4365280,133.91737060546876,133.0229183959961,133.97902440976776,48.056930432360765,134.24507101222264,133.7624673181055,0.482603694117131,0.9122595466392562,133.91737060546876,3.7975272333755115,141.5124250722198,126.32231613871774,0.018783977768952242,0.018781509840286405,0.0008210697723456395,1
2015-03-18,133.32862854003906,133.88463229787234,131.46705142326974,133.01092725654485,5820650,134.16781616210938,133.16459716796874,133.91673983705235,50.06494170300432,134.10405605972295,133.7297327400488,0.3743233196741471,0.804671318493912,134.16781616210938,3.5671120932569456,141.30204034862328,127.03359197559548,0.0024261539116339215,0.018476546910615402,-0.012175112227585272,1
2015-03-19,131.6209259033203,135.29938812070816,130.6926069325412,134.0335220280411,7614150,134.25667572021484,133.28224884033204,133.6969988743519,48.621849598899885,133.7219814645491,133.5708354128996,0.15114605164947648,0.6739653099897976,134.25667572021484,3.474664197828562,141.20600411587196,127.30734732455772,-0.01280822172565832,0.018611477889726218,-0.015312705014625116,1
2015-03-20,133.0109100341797,133.43782439256262,129.7643157210308,131.15430221130728,7948870,134.41776428222656,133.4576838684082,133.63136195865073,50.339515250122325,133.6125726372928,133.52869910975454,0.08387352753825894,0.5559462635593716,134.41776428222656,3.3282411185937164,141.07424651941398,127.76128204503912,0.01056051020246107,0.018733812303686145,-0.03026808640538492,0
2015-03-23,132.62864685058594,133.45766044682,131.70032796354903,133.1895891850722,4676000,134.60441665649415,133.5854621887207,133.53547520909777,34.635176919271856,133.46118395806354,133.4610468793245,0.0001370787390442274,0.4447839067106132,134.60441665649415,3.099035873536083,140.80248840356631,128.406344909422,-0.002873923526239497,0.01866188157107657,-0.017966046978405648,1
2015-03-24,133.11514282226562,135.22492976939128,131.6606345157863,131.6606345157863,3243160,134.72306289672852,133.5856605529785,133.49529566752798,34.89664782243595,133.40794225328688,133.43507540408103,-0.02713315079415679,0.35040014207807124,134.72306289672852,2.9867801989877893,140.6966232947041,128.74950249875295,0.0036681062744141624,0.01842984904278477,-0.02051093590272346,1
2015-03-25,131.70533752441406,133.28892032233077,130.86141651283128,132.85206780572574,3687870,134.60516433715821,133.51735305786133,133.32425387955163,32.386433813274266,133.14598388442175,133.30533257649697,-0.15934869207521274,0.2484500700950108,134.60516433715821,3.0598387695807117,140.72484187631963,128.4854867979968,-0.010590870940460406,0.01766940658313425,0.026006897341938506,1
2015-03-26,129.60545349121094,132.92650774611363,129.0693260334896,130.52880347060162,19963690,134.420743560791,133.38709243774414,132.96901209358933,29.19188217226187,132.60125315322838,133.0280736591548,-0.42682050592642895,0.11339563149959017,134.420743560791,3.248376479478299,140.9174965197476,127.92399060183442,-0.015943803589690275,0.017966207151541586,0.07062956221244554,2
2015-03-27,128.98492431640625,131.45213466330185,126.65671867018634,131.05500434631503,4885690,134.2509666442871,133.20083541870116,132.58853799429625,34.803835486502024,132.04486570389545,132.72535231280932,-0.680486608913867,-0.04538112073893224,134.2509666442871,3.443498419347434,141.13796348298197,127.36396980559223,-0.004787832287063254,0.017938230662630002,0.06750591140161144,2
2015-03-30,130.24583435058594,131.01032610487664,128.1509393923973,129.20831740168083,8516560,134.1223922729492,133.04327163696288,132.36487171758415,41.49117194728116,131.76807937219087,132.53985234496648,-0.771772972775608,-0.19065971378506338,134.1223922729492,3.5463180730023107,141.21502841895384,127.02975612694459,0.009775638826492683,0.018080598068753537,0.045546335424566875,2
2015-03-31,130.38482666015625,131.5216337194307,129.09413047511907,130.5536077932654,3822510,133.66841506958008,132.87021926879882,132.17587425407945,33.02629132903978,131.5552632750936,132.37874762130855,-0.8234843462149399,-0.3172247954393773,133.66841506958008,3.4048094660363746,140.47803400165282,126.85879613750733,0.0010671535889292816,0.013586276852512591,0.0893585647579258,2
2015-04-01,135.13058471679688,135.90004538025863,129.58557766596226,131.3428948686209,4826140,133.43186798095704,132.80210983276368,132.45784453629395,48.023743015292105,132.10533019690956,132.58432804599636,-0.4789978490867952,-0.3495794379022018,133.43186798095704,3.10285134588194,139.63757067272093,127.22616528919316,0.03639808540766998,0.016201270145709483,0.0450759593754142,2
2015-04-06,138.75942993164062,139.3948474613678,134.26683120382933,136.01919467523268,11079010,133.36906890869142,132.8182926940918,133.05909381336727,62.02766835658018,133.12906535872332,133.04535736500026,0.08370799372306692,-0.26292188358236246,133.36906890869142,2.9725679244157805,139.314204757523,127.42393305985986,0.02685435885923959,0.017405471947806506,0.03434484257188841,2
2015-04-07,137.69216918945312,140.29837714622658,136.0291572728394,138.98783473715966,15741490,133.24297866821288,132.8007197570801,133.50106954321112,66.43809043004752,133.8310972956692,133.3920825428902,0.43901475277900204,-0.1225344681874807,133.24297866821288,2.7087143639803464,138.66040739617358,127.82554994025219,-0.00769144657565457,0.017477000554674806,0.04113646654611136,2
2015-04-08,136.1780548095703,138.5012987658804,135.7511253657164,137.69213104808736,3017120,133.27772674560546,132.7678565979004,133.75640232144394,57.63437491984745,134.1921746295762,133.59984731671727,0.592327312858913,0.020437959817996076,133.27772674560546,2.7432016119559197,138.7641299695173,127.79132352169363,-0.010996372479247674,0.015885747348488903,0.034120878720699466,2
2015-04-09,142.03582763671875,143.39601492630885,135.61214530849307,136.91276456343704,16092230,133.6887634277344,132.85314193725586,134.5459872439225,66.54711866331071,135.39891012255362,134.22864806626154,1.1702620562920742,0.25040287149765306,133.6887634277344,3.3718220216728576,140.4324074710801,126.94511938438868,0.04301554193397661,0.018207885475361216,-0.030791129789460303,0
2015-04-10,141.2217254638672,142.8499842843224,140.27851428622745,142.77055517728152,8832860,133.9195999145508,132.92681106567383,135.1825510210385,68.88678097435694,136.29474020781961,134.74965609048718,1.5450841173324363,0.5093392038835384,133.9195999145508,3.7218408554271076,141.363281625405,126.47591820369657,-0.005731667751701086,0.017813141133995073,-0.036206496586155046,0
2015-04-13,143.5251007080078,144.3243456362814,140.00051192741685,141.17704130502847,8131980,134.29489364624024,133.04049118041993,135.97796045647092,69.96609812166753,137.4071163277029,135.4031759566598,2.0039403710431145,0.8082595141708806,134.29489364624024,4.2811102562132675,142.85711415866677,125.7326731338137,0.016310346276925847,0.01803596109477574,-0.06405646316773839,0
2015-04-15,143.35633850097656,146.47385922469763,142.02593494521278,143.6541938872285,25209020,134.80447082519532,133.22466384887696,136.68136794071398,70.53806483565519,138.32239030467926,135.99522405414908,2.3271662505301833,1.1120409239269529,134.80447082519532,4.723231928700449,144.2509346825962,125.35800696779442,-0.0011758375796202536,0.017182290400304955,-0.05654858365635085,0
2015-04-16,140.82456970214844,143.59955859542487,139.7920216847057,143.26696533024392,7282460,135.31801834106446,133.39741836547853,137.07631663337222,63.68769898714971,138.7073441938526,136.35459728960873,2.3527469042438725,1.3601821608220905,135.31801834106446,4.794551231357882,144.90712080378023,125.72891587834869,-0.017660668689657433,0.01704741375946418,-0.028799948510571882,0
2015-04-17,137.66238403320312,141.117466882693,136.25255146329377,140.2884530327389,5857060,135.55084075927735,133.52519760131835,137.1321783957163,59.95686725978703,138.54657995696274,136.45188244121664,2.0946975157461054,1.50708525114527,135.55084075927735,4.789423145901838,145.12968705108102,125.97199446747368,-0.022454786658560377,0.01763989698129207,-0.013198413361705907,1
2015-04-20,136.10858154296875,137.70210240186182,135.0462494532595,137.22057386669633,12147920,135.68983840942383,133.56203231811523,137.03462058224588,61.07172488207942,138.17150103671767,136.42635262124247,1.7451484154751995,1.5546978890254517,135.68983840942383,4.761796145192542,145.21343069980892,126.16624611903875,-0.011287052023300825,0.01788191564766587,-0.024837858962521553,0
2015-04-21,134.33139038085938,136.9921969900839,133.68108073757682,136.1085691057308,9936670,135.8253616333008,133.65476333618165,136.77699710930864,58.75756567241481,137.5807117949795,136.27060466065245,1.3101071343270405,1.505779733964423,135.8253616333008,4.677726332642394,145.18081429858557,126.469908968016,-0.013057157322209911,0.017892250037828933,-0.008093219751777236,1
