Date,Close,High,Low,Open,Volume,SMA_20,SMA_50,EMA_20,RSI,MACD,MACD_Signal,BB_High,BB_Low,Daily_Return,Volatility,Future_Close,Future_Return,Signal
2015-03-16,997.3786010742188,1015.9458686324704,993.3692937739712,1006.292417617598,1556296,1032.601889038086,998.4985119628906,1021.9531570328211,43.167557130064424,4.516871265086593,11.591655929955074,1077.6472041596387,987.5565739165334,-0.0077639601637388145,0.016227230245755966,1018.7288818359376,0.0214063954637925,2
2015-03-17,1005.7088623046876,1014.661644853031,995.6078070880816,1005.2417796129296,1267318,1033.4767578125,998.8350915527344,1020.4060813444274,46.1000784250626,2.774484185592769,9.828221581082614,1075.6260668033524,991.3274488216474,0.008352155562087349,0.014824548738174157,1008.6668090820312,0.0029411561220263984,1
2015-03-18,996.22998046875,1011.8388947479078,993.252152117056,1008.5302599340388,1255170,1032.981427001953,998.7187109375,1018.1035955467439,43.35849051245148,0.6215979320046472,7.986896851267021,1076.6111237726643,989.351730231242,-0.009425075378391101,0.014421299948041179,1001.835693359375,0.0056269265134817345,1
2015-03-19,1010.5934448242188,1014.3302944192418,999.6360613746142,1002.7111078929946,2448964,1032.2146026611329,999.1941613769532,1017.3883430969796,48.36916758641653,0.07358337499147183,6.404234156011912,1076.8408056573262,987.5883996649396,0.014417819817779787,0.014080249793925343,978.2274169921876,-0.03202675417873984,0
2015-03-20,1016.3153686523438,1019.0596085296944,1003.8204625570444,1010.4960824075962,1963908,1030.8502624511718,1000.5116589355468,1017.2861550546334,50.25699030753493,0.09983844766645689,5.143355014342821,1075.6684961788437,986.0320287234998,0.005661944333233082,0.013533999160621217,978.8888549804688,-0.0368256889802851,0
2015-03-23,1018.7288818359376,1024.1200497189975,1014.3887683647694,1018.2812809064608,1566608,1029.7136535644531,1002.1019775390625,1017.4235576052338,51.06967571679537,0.31180186742597016,4.1770443849594505,1074.5508515804522,984.8764555484539,0.0023747679687204926,0.013556162364948944,998.0986938476562,-0.020250911067822043,0
2015-03-24,1008.6668090820312,1026.4555726582855,1005.0857164963068,1023.730813838184,2394878,1027.663278198242,1003.2882641601562,1016.589581555405,47.57960896458795,-0.3283556942412815,3.275964369119304,1072.4122054443017,982.9143509521825,-0.009877085977745725,0.013524051264344434,994.12841796875,-0.014413472300642436,1
2015-03-25,1001.835693359375,1017.5030606863162,990.722547963292,1008.7059418886712,2224858,1025.1136932373047,1003.8057263183593,1015.1844493462593,45.31545552069944,-1.3710940045430107,2.3465526943868413,1069.6471778640212,980.5802086105883,-0.006772420447613503,0.013513977798490815,989.7296752929688,-0.012083835849182128,1
2015-03-26,978.2274169921876,1006.8762538064228,973.517438552942,993.8752992372084,3091642,1022.017221069336,1003.871220703125,1011.6647319792048,38.497224281177665,-4.055710521910669,1.0661000511273393,1070.3833652004444,973.6510769382276,-0.023565018219727896,0.014176629145851537,991.539794921875,0.013608673912064051,1
2015-03-27,978.8888549804688,1001.1150396242574,974.7238864948572,985.1947048872104,2751776,1019.2603454589844,1004.0416186523438,1008.5432198840871,38.77517160041721,-6.060059343895318,-0.3591318278771923,1070.758400954206,967.7622899637627,0.0006761597321764956,0.0141814283480939,1006.2146606445312,0.027915125935934492,2
