Date,Close,High,Low,Open,Volume,SMA_20,SMA_50,EMA_20,RSI,MACD,MACD_Signal,BB_High,BB_Low,Daily_Return,Volatility,Future_Close,Future_Return,Signal
2015-03-16,180.1991729736328,182.7349281178533,179.8139915415307,182.21065854911555,13839990,186.2689308166504,188.35617095947265,186.01865767387673,39.34003940519898,-2.031840477988993,-1.5215456294423095,196.43782708613716,176.10003454716363,-0.009410552484737322,0.01639869318762037,180.1670684814453,-0.0001781611516729747,1
2015-03-17,183.35548400878903,184.00814260727708,179.96377340198245,182.00735617885903,19070082,185.62001113891603,188.2232846069336,185.7650220867255,44.95842707121809,-1.9860153408074837,-1.6144395717153444,194.739170541193,176.50085173663905,0.017515679917232907,0.016842905350217815,181.4510040283203,-0.010386817666045,1
2015-03-18,185.88055419921875,186.65091709935052,182.89542295907717,183.38759528846785,9269885,185.2546272277832,188.15095703125,185.77602514505818,49.02601118081649,-1.726049701433766,-1.6367615976590288,193.69163075117737,176.81762370438904,0.013771446237782925,0.01697362560440609,180.79833984375,-0.027341291171436105,0
2015-03-19,183.2056884765625,187.60312735711423,182.76701164027128,187.3570483646431,13934612,184.76780471801757,188.0666455078125,185.53123117663003,45.21418064447147,-1.7160824381883515,-1.6526257657648935,192.46553863069278,177.07007080534237,-0.014390239657825932,0.017204458829195086,177.4601287841797,-0.0313612516082864,0
2015-03-20,182.7670135498047,184.27562763376545,181.59007115481376,183.58015842661288,10405717,184.25476837158203,188.14368133544923,185.2679723550276,44.60171171569471,-1.7237108450372887,-1.6668427816193727,190.9895740499623,177.51996269320176,-0.002394439443477947,0.01719107143014759,173.69393920898438,-0.04964284399355175,0
2015-03-23,180.1670684814453,184.88549441073985,179.34321021313397,183.28058850662916,13251683,183.92148208618164,188.09082611083986,184.782171986115,41.052325913479265,-1.9174471140326546,-1.7169636481020292,190.77173048957854,177.07123368278474,-0.0142254612463254,0.01600000497885258,173.49063110351562,-0.03705692407720597,0
2015-03-24,181.4510040283203,182.80983105517825,180.19918216575175,180.19918216575175,9238431,183.88403396606446,188.11607635498046,184.46491789489647,43.445808189600115,-1.9449613311412008,-1.7625631847098635,190.77955590989708,176.98851202223184,0.007126360869923465,0.01514340523982937,176.7539520263672,-0.025886062340112617,0
2015-03-25,180.79833984375,181.78268447671076,179.9637824379149,181.6756936001925,10264941,183.920947265625,188.05016815185547,184.11571998526347,42.50110580076997,-1.996417631848459,-1.8093340741375827,190.7416906242678,177.1002039069822,-0.0035969169091423225,0.014921566500479336,178.90455627441406,-0.01047456282492742,1
2015-03-26,177.4601287841797,181.72919342066984,176.34739507256452,179.98518495338175,20621346,183.77276153564452,187.96029327392577,183.4818541565888,37.95513756566429,-2.280277238216172,-1.9035227069533007,191.00720635886054,176.5383167124285,-0.01846372628451831,0.015490113312669293,176.465087890625,-0.005607123697993134,1
2015-03-27,173.69393920898438,178.6798567145218,171.50055489934067,178.4444625104279,23326922,183.44856948852538,187.82569519042968,182.54967178062648,33.58989944261269,-2.777125075548753,-2.0782431806723913,191.7941397886494,175.10299918840136,-0.021222736628212502,0.016156079937706028,178.21978759765625,0.0260564554484914,2
2015-03-30,173.49063110351562,174.9778469896794,170.4306066386598,174.7424670852265,17330588,182.9692352294922,187.72212493896484,181.68690600185403,33.3668047750956,-3.1509634855697755,-2.2927872416518684,192.3784881166434,173.559982342341,-0.0011704962556242648,0.015606829819976928,185.2920837402344,0.06802357315581656,2
2015-03-31,176.7539520263672,178.23046882202829,175.04204104238607,175.04204104238607,20235395,182.5599838256836,187.5584243774414,181.21710086133146,40.22896760024382,-3.1476265139847612,-2.4637550961184473,192.29723513877585,172.82273251259133,0.018809781842942686,0.01609019581749292,191.54051208496097,0.08365617791894124,2
