Date,Close,High,Low,Open,Volume,SMA_20,SMA_50,EMA_20,RSI,MACD,MACD_Signal,BB_High,BB_Low,Daily_Return,Volatility,Future_Close,Future_Return,Signal
2015-03-16,147.28167724609375,150.0042414547183,147.1060299625307,149.74076009157463,8926276,161.00535736083984,159.9727639770508,156.4558620933042,34.607766306312655,-4.197571447188523,-2.4244832921052857,183.75489732986532,138.25581739181436,-0.011785370136712436,0.03274367281640464,143.76870727539062,-0.02385205027800766,0
2015-03-17,149.30165100097656,149.58708307309828,147.65494196030474,149.0820918831136,11361862,160.16992721557617,159.73432037353516,155.77450865593966,38.25669184055336,-4.218231469824332,-2.783232927649095,183.3461077748779,136.99374665627442,0.01371503769275817,0.03250005088092498,143.3954620361328,-0.03955876525977009,0
2015-03-18,147.83059692382812,149.85056178855962,147.5451648368986,149.85056178855962,9094350,159.00735092163086,159.45635650634765,155.0179456338338,36.652663764682856,-4.303696126535755,-3.087325567426427,182.21005814866953,135.8046436945922,-0.009852898928350173,0.03142812423828846,143.4833221435547,-0.029407138107637044,0
2015-03-19,146.38148498535156,149.67490298449445,145.56911105063486,148.6429594995953,10865286,157.69218063354492,159.13667541503906,154.1954255720736,35.09178905930844,-4.437209318464056,-3.357302317633953,180.625004491716,134.75935677537385,-0.009802516993307142,0.031201445617466735,141.5731201171875,-0.032848176589035404,0
2015-03-20,143.79063415527344,146.535148734828,143.32955487088444,146.535148734828,10980106,156.3352897644043,158.84861022949218,153.20449305618786,32.4324856384318,-4.697924742249285,-3.6254268025570195,179.18612397658794,133.48445555222068,-0.01769930691943311,0.031277742073003,139.42137145996094,-0.030386281561247706,0
2015-03-23,143.76870727539062,144.82260146598372,142.71481308479756,143.3076279146437,11832346,154.8280014038086,158.61894927978517,152.30584679135004,32.41010039248245,-4.850400512074515,-3.870421544460519,176.80187687835834,132.85412592925886,-0.00015249171138043138,0.030763281657920957,143.83456420898438,0.0004580755773758213,1
2015-03-24,143.3954620361328,144.82261204566385,143.15394177290744,143.63698229935815,11128170,153.42939834594728,158.3040985107422,151.4572387194246,32.0051483411615,-4.944360914789229,-4.085209418526261,174.55891032304862,132.29988636884593,-0.0025961507641775183,0.030764666942034377,143.0880889892578,-0.0021435339899218576,1
2015-03-25,143.4833221435547,144.31765749191325,143.15397814417074,144.31765749191325,7528966,151.9155242919922,158.03930877685548,150.69781809315128,32.219836442767644,-4.954621838092862,-4.2590919024395815,171.2649609581627,132.5660876258217,0.0006127119099468281,0.030396742151563242,145.9862823486328,0.01744425880085157,1
2015-03-26,141.5731201171875,144.4493711256007,140.78269672594524,143.15395646187054,25124845,150.21831741333008,157.72797119140625,149.8287992382976,30.00188163294945,-5.0585788845156685,-4.418989298854799,166.73689348643796,133.6997413402222,-0.013313059649232462,0.030069027123066985,149.74075317382812,0.05769197606070874,2
2015-03-27,139.42137145996094,142.82457370164985,138.36747744764034,142.2756603498891,22227555,148.5024444580078,157.353837890625,148.83761564036078,27.689589008087083,-5.2540285558278015,-4.5859971502494,161.684188503278,135.3207004127376,-0.01519885028630752,0.03008953874310082,149.56512451171875,0.07275608427557964,2
