Date,Close,High,Low,Open,Volume
2015-01-01,848.3333129882812,850.5628449997006,842.15264552208,843.1686060112443,674298
2015-01-02,866.2262573242188,868.6816158955094,847.5149098551705,847.5149098551705,1936584
2015-01-05,878.2772827148438,886.7439656993921,872.2658551133633,872.2658551133633,2176527
2015-01-06,848.9824829101562,871.9272235698563,844.4386690587393,869.8105529375886,3048025
2015-01-07,846.950439453125,852.3127060523922,838.5119724980458,845.9626942978873,2063635
2015-01-08,852.3409423828125,859.9327412905251,849.0107001337578,857.6749420523734,1455954
2015-01-09,846.809326171875,860.2148887413847,839.8948519994622,859.0860150367864,1735729
2015-01-12,865.9722290039062,867.552652202853,843.9024249260398,848.8695209421129,1535320
2015-01-13,857.6749877929688,873.2819205680963,855.8123071978948,872.0401335047137,1318348
2015-01-14,856.8282470703125,865.9158228328267,846.6682283303483,859.3682517553035,1476891
2015-01-15,888.2678833007812,895.323486720328,866.706109319291,872.068324509861,3419091
2015-01-16,898.4559936523438,909.8860137994102,880.5348854036379,893.2349077892673,4195027
2015-01-19,911.4946899414062,916.0949339817948,904.1851491750068,904.8059909173256,2087947
2015-01-20,919.7923583984376,922.3041482178116,903.6774433498166,915.4743702132904,2088778
2015-01-21,933.9033203125,941.6079809246032,920.4694894895132,922.1910414207218,3705237
2015-01-22,938.8421630859376,942.0594402026426,933.2258549552917,934.7216836587538,1811173
2015-01-23,965.9354248046876,968.5600752012126,945.4459951075072,945.4459951075072,4374211
2015-01-27,983.2640991210938,987.7795942359096,969.7174070705302,970.846229172705,3390609
2015-01-28,958.6259765625,982.4174373148762,951.0907117423718,979.4258830242824,3463524
2015-01-29,973.0474853515624,978.579043449919,952.9249583607414,955.2391362980052,3460012
2015-01-30,959.8677368164062,982.5867022431944,950.1592674968056,975.7004948250184,2282494
2015-02-02,979.369384765625,982.0505699184512,957.2995784606292,957.2995784606292,2125707
2015-02-03,972.2575073242188,987.723260479346,963.7060744449404,983.264195696368,2930722
2015-02-04,953.010009765625,977.732791117151,949.6233358834778,976.2369619210964,1846012
2015-02-05,949.6232299804688,962.944200886324,944.9383385228348,954.4493017361708,2015947
2015-02-06,950.272216796875,956.1706789616572,938.6728001541724,949.3973331918062,2210620
2015-02-09,887.5623168945312,942.0594510006506,874.890509256341,938.8421738470688,5339823
2015-02-10,887.13916015625,909.32183012725,864.8153098880857,872.1248525942731,10472047
2015-02-11,910.28125,916.4901850854648,893.9123990475949,895.7750278967044,4675647
2015-02-12,931.3634643554688,936.4152594143044,906.0480582811574,913.272955140502,3162283
2015-02-13,938.193115234375,944.8818154227652,931.335122728532,936.9795435667749,2363568
2015-02-16,930.460205078125,947.139528507718,925.747098864072,939.8017713505952,1676532
2015-02-18,938.8705444335938,945.3898493210388,933.5929233173172,934.044472875852,2187792
2015-02-19,958.73876953125,965.2016418530222,938.3340888258424,941.9464842936122,2808871
2015-02-20,946.9138793945312,967.9111919323628,943.470775305236,959.5574735489364,5372566
2015-02-23,952.219482421875,966.2742574399044,947.9014952062512,951.9091132026856,3558913
2015-02-24,971.4671630859376,973.3862226492248,953.9410684368388,954.731305911036,3186507
2015-02-25,958.3720703125,979.200089506446,951.6551547871528,973.6685302537594,2760175
2015-02-26,947.167724609375,959.9807131795906,942.6240141521594,958.9928646581052,2867676
2015-02-27,992.8314208984376,996.2463094078628,959.5574194709084,961.1377911363428,6404554
2015-03-02,1042.0228271484375,1044.2242473608048,1005.8419175163436,1005.8419175163436,7276993
2015-03-03,1045.1556396484375,1049.304335203684,1031.8628846388954,1044.2243251408686,3566704
2015-03-04,1037.394775390625,1068.9472341425262,1025.5978467630357,1055.513399243768,4956996
2015-03-05,1030.705810546875,1042.2204789444231,1013.1797144386434,1039.8497663244575,2831550
