Date,Close,High,Low,Open,Volume
2015-01-01,367.7708435058594,369.18648845992266,364.5111242586098,366.755660154632,2002764
2015-01-02,374.9979553222656,376.0876506892124,367.32365678086296,367.32365678086296,6778320
2015-01-05,371.7756652832031,378.12745693335086,368.3482985643849,374.3834408482607,9937024
2015-01-06,364.0081787109375,369.7452936215231,360.2641629049889,368.81394527486935,9667316
2015-01-07,365.7498474121094,367.83605877941375,363.2258840966486,366.01992935893054,7249916
2015-01-08,367.5938415527344,371.9805010230413,363.2258272383228,369.8570224085106,13564920
2015-01-09,386.4070739746094,392.8426996043403,356.3431700615721,368.8325366978037,44863328
2015-01-12,394.1372985839844,394.7426750106284,386.50956470346887,389.6761490889912,12758888
2015-01-13,389.0986328125,392.6191562941542,386.5095030068487,392.6191562941542,8801236
2015-01-14,396.5028076171875,397.3130986529341,389.7878242106129,390.88679677598793,9921260
2015-01-15,397.5460205078125,401.0013317843016,393.4480880016994,397.7229675890147,8342452
2015-01-16,394.5749816894531,402.34241646773023,393.40147387955847,400.1071808206873,6690960
2015-01-19,391.6319274902344,397.19209456794607,390.1604154893462,394.8916462683933,4087744
2015-01-20,395.6740112304688,397.3131933691028,391.4363763738597,392.4701821044067,6804504
2015-01-21,404.1864929199219,405.3134333908592,394.5191163333112,397.033756593226,8494908
2015-01-22,409.1319885253906,410.3520639022775,402.5846281201608,405.0992685480685,9958396
2015-01-23,412.5965576171875,414.4499313611111,403.2923985903676,409.79319055930085,9486328
2015-01-27,397.9651489257813,413.70493600007495,396.77304123126174,413.70493600007495,13739968
2015-01-28,399.4645385742188,401.3738022552521,396.8101963835139,400.4796989484496,13134356
2015-01-29,399.6414794921875,400.4610476498559,396.3072714029673,399.5483446799078,15369424
2015-01-30,398.9708862304688,402.8173812205684,396.1861644693731,402.6217890217528,10833744
2015-02-02,398.03033447265625,400.85230158383774,396.0186130832642,398.89647018670473,8702540
2015-02-03,395.0593566894531,398.6078032835734,391.5388778336786,398.03039454572536,5265956
2015-02-04,399.1479187011719,400.479728444908,396.0837467236762,398.598386879028,5160016
2015-02-05,408.638427734375,413.518684191344,400.1072674067599,400.6288315991373,11875936
2015-02-06,415.4744567871094,418.6969308464036,407.6511314407482,410.7245806839615,7453728
2015-02-09,418.90185546875,419.8518490051668,409.793286517909,409.793286517909,6536868
2015-02-10,424.3781127929688,428.0476154577885,417.43024640596354,417.80278567093984,8516920
2015-02-11,425.5982360839844,427.15356040545953,420.2709058023105,424.7879449006844,5796972
2015-02-12,430.50628662109375,432.5086848034017,423.3907970591575,425.2534930426998,6287536
2015-02-13,427.6938171386719,433.3936418838304,425.8124752387764,428.3457609983988,5657516
2015-02-16,424.46197509765625,429.7054476802714,421.9473347624645,424.7507021572652,6244276
2015-02-18,427.7682495117188,429.342218952717,420.624790272434,426.6599541938554,8613764
2015-02-19,433.0210266113281,434.7533433729214,426.9393410051821,427.3025577110033,9673624
2015-02-20,425.2723083496094,435.1259558547232,424.1173999969392,433.7289333081005,6971628
2015-02-23,422.0125732421875,430.13390338961545,418.7528540890244,428.4202315585797,5090488
2015-02-24,423.353759765625,427.66588489096847,420.522469577918,424.5086227463478,6437676
2015-02-25,431.6986083984375,434.9024376496221,424.69485056710863,426.3526324512932,6044972
2015-02-26,420.6155395507813,430.0966471020452,418.24987847609634,429.8172426106406,6445776
2015-02-27,422.0404052734375,424.8158045115224,419.3860631019064,423.7447541616064,7801076
2015-03-02,426.87408447265625,430.00342322354055,424.3315223178026,428.9789403005475,7040992
2015-03-03,428.0197143554688,428.9696622425128,424.3781337651664,426.5574794777812,4905552
2015-03-04,423.6982727050781,431.0093570115197,419.4606378522999,428.42022687428505,4375228
2015-03-05,418.65960693359375,428.1872795975417,416.0052649067249,422.2825418680539,5684916
2015-03-09,407.9399108886719,420.7831958866032,405.8816218844215,420.7831958866032,7984720
2015-03-10,409.4205932617188,411.0876971372658,402.3795930722133,409.4392384126769,6329916
2015-03-11,406.4776306152344,417.2440257315408,404.0375254289161,408.6942667875271,6780912
2015-03-12,413.2018737792969,414.7199528693346,405.5089299992285,405.88146920914966,5688564
2015-03-13,413.5930786132813,415.3812852964312,408.3775288427431,414.4499371231208,6179684
2015-03-16,422.2080383300781,425.0672953388112,411.7583393805645,411.7583393805645,6818632
2015-03-17,417.3371887207031,424.60170573034713,413.0064189649538,422.2081223201057,5539312
2015-03-18,415.2882080078125,421.5003193747332,413.9936429627756,419.9449495194498,4905564
2015-03-19,415.4651184082031,418.9204293999632,414.0308512444501,416.2381647164766,6891740
2015-03-20,420.494384765625,422.6271630232846,415.93077863942506,417.43025831894505,6430896
2015-03-23,416.0239868164063,423.763500727082,414.5431520299433,419.66556797279816,5078700
2015-03-24,411.9260559082031,419.7400595317602,410.9108952938138,416.29407060930527,6736532
2015-03-25,413.3509826660156,415.2229561959916,409.9329165290985,414.0587709281026,6170968
2015-03-26,399.7999267578125,412.568676330984,397.126938787117,411.28343379078535,15740840
2015-03-27,410.1936645507813,414.3940539769338,402.9012264237962,403.0874960615326,10074220
2015-03-30,415.0086975097656,417.2439328643964,408.8431551328508,410.8362763715136,4623088
2015-03-31,413.2113037109375,423.5119791606892,410.60352856396446,418.1753717824581,8016412
2015-04-01,404.94091796875,409.700116873504,401.9140359959405,409.58833688718846,6738488
2015-04-06,405.7325439453125,406.9432966745216,402.41693506858815,405.8815687610283,7741752
2015-04-07,402.2492980957031,406.5893899163602,398.2445007310087,405.1364775911805,8542268
2015-04-08,409.8957214355469,410.7059671947268,404.7733056352426,406.5335448786941,10185576
2015-04-09,412.5872497558594,413.3136831564573,406.8873806207565,411.9166608660875,10581548
2015-04-10,416.1170959472656,416.87149716199286,411.6931915426198,411.6931915426198,7123776
2015-04-13,417.0205078125,417.9891009119287,412.79219578884727,416.8714829950519,4872336
2015-04-15,412.3451232910156,418.1753725468896,408.8712124399863,416.592080490476,6237784
2015-04-16,408.7966613769531,415.5675812155715,402.4355711413009,413.8911543975796,9007812
2015-04-17,405.9281311035156,408.8525554869575,401.1223650816364,406.0771559173701,6450316
2015-04-20,397.1548461914063,406.0678678105813,393.9882619011402,405.3227891540481,12825384
2015-04-21,399.1014099121094,401.4297807683221,394.91034237092646,400.107247931596,8881648
2015-04-22,398.1886291503906,401.4111032508038,390.7844104245347,400.6753472147532,12350984
2015-04-23,395.2641906738281,400.4797407863952,393.4014942050542,400.2375811502569,11891800
2015-04-24,371.6452026367188,400.51699885687066,368.8139130058114,397.8533337232974,43565452
2015-04-27,369.68011474609375,372.9118890572068,362.8719490349902,372.5393497074993,19822640
2015-04-28,365.2562255859375,369.1865113458032,363.5984208612553,369.1865113458032,10393500
2015-04-29,365.302734375,367.3237555616016,360.9812647844196,365.2561669617696,8289056
2015-04-30,361.7822265625,366.0198610865298,359.92885264608907,365.0885128394903,13134260
2015-05-04,371.2540893554688,372.5393546767029,363.2072483896511,364.9954327444997,13361592
2015-05-05,365.6007385253906,373.2284712427597,363.60766245833,372.5392826650268,9408516
2015-05-06,358.0195617675781,367.8825298654836,356.7622417287974,367.8825298654836,10508408
2015-05-07,362.1081848144531,366.411009006162,355.7750169730481,358.0102526817793,6779984
2015-05-08,364.7066955566406,366.4949026000007,362.341079815108,364.7160181354486,5777676
2015-05-11,371.3564758300781,372.5392835076161,363.6355855365868,366.0198460462328,4785512
2015-05-12,362.68560791015625,371.5334157226689,361.7356373031482,371.3564686616159,8284892
2015-05-13,364.4738159179688,366.00124069436174,359.2210208707986,363.5517902434956,7099084
2015-05-14,360.39459228515625,365.237604050165,355.40255567833253,365.08857920835,6233844
2015-05-15,365.41448974609375,366.3178930105344,359.928857590866,360.4317765559788,5189344
2015-05-18,371.2448120117188,372.3344851425824,365.38661666162415,366.9512865936844,6469976
2015-05-19,376.7024230957031,379.1891183819797,369.93152584844256,370.1736854892612,10272076
2015-05-20,381.349853515625,382.225311752414,378.79794573491057,379.9900760111718,5882188
2015-05-21,381.5639953613281,384.0693126641109,379.4777847050474,381.64780759543225,10059312
2015-05-22,381.1915588378906,382.1415523496783,378.1460542669159,380.7352072394805,6888824
2015-05-25,375.6686706542969,383.0728898614439,373.852541414808,381.9459492894344,4675808
2015-05-26,373.8990783691406,378.39747223621816,372.939785121915,376.26469383418754,3965040
2015-05-27,366.67181396484375,374.2157349531984,364.1571736353922,373.8431956451315,8454708
2015-05-28,375.6313781738281,378.4999353813051,367.9198099821416,367.9198099821416,10980540
2015-05-29,376.8514709472656,383.05423704453136,372.7255933893842,373.44272703996046,18993044
2015-06-01,381.4430236816406,384.4605831167189,376.8700943754368,378.64897874619936,5724892
2015-06-02,374.1505432128906,382.8027822413957,373.4706544315385,381.4988946698143,4673140
2015-06-03,376.4323425292969,379.8876309150817,374.0294594820375,375.92940082843165,5495796
2015-06-04,377.76416015625,382.7841179608308,374.886280517106,378.12737686641685,7489464
2015-06-05,374.7093811035156,380.7352002984082,374.0574372673882,378.1274249538986,6125788
2015-06-08,372.5486450195313,377.1308741379597,370.1178168454037,376.2647156656846,6141048
2015-06-09,371.0677490234375,373.96425104972747,369.3726998300109,373.23779489883225,7561740
2015-06-10,377.4754638671875,379.8690244371277,369.7452730206599,370.6766213154222,6385840
2015-06-11,372.10162353515625,380.8749207442778,371.61732692421066,379.2357384970799,9229464
2015-06-12,367.8917846679688,377.2983995214788,364.2502048720581,373.4705501245086,9852924
2015-06-15,374.5763854980469,377.7342467080316,366.0860585524615,369.4708464583173,5236426
2015-06-16,377.9422607421875,379.3226565119539,372.5152708517194,376.0513202810113,5223444
2015-06-17,376.5618591308594,386.1300125129118,375.2382009097083,382.34813188105176,6412068
2015-06-18,378.9255065917969,381.1946348036352,376.5996409415562,380.3058790710057,3474426
