Date,Close,High,Low,Open,Volume
2015-01-01,684.9315795898438,689.8229459509532,682.9658590130709,686.7143775512,284935
2015-01-02,708.6113891601562,714.462792633656,686.8515766608426,686.8515766608426,2080850
2015-01-05,708.5656127929688,720.3598240239293,706.4627840704638,713.0455983434857,1326999
2015-01-06,691.6515502929688,715.8799258154588,686.0744748524362,708.5656992426316,1510720
2015-01-07,705.548583984375,711.6285012725926,694.1658078481703,697.9600851612784,1427667
2015-01-08,750.028076171875,752.3595301532526,711.3998234000894,716.6112201417573,2769416
2015-01-09,742.8508911132812,757.9364784405047,735.1252306850828,757.4336366902177,1708427
2015-01-12,738.50830078125,748.2453870496599,731.605510739895,743.3539646365848,1320557
2015-01-13,762.3707885742188,770.2336138935855,742.485239450304,743.308112080123,3835281
2015-01-14,770.416748046875,777.1366722444436,759.0339703339632,767.9938878650972,2320114
2015-01-15,767.3994140625,777.1364995844214,761.593769592733,776.2222213496162,1308063
2015-01-16,771.1480102539062,785.3650260491198,767.9937390934349,772.4737248927265,1568660
2015-01-19,760.5880737304688,775.307930754924,758.4394864310602,773.4793743144643,1041563
2015-01-20,767.26220703125,774.3935651840113,763.4222277788069,763.4222277788069,1314139
2015-01-21,778.3251342773438,782.5308480940157,767.2623887614027,772.5651919359602,1663391
2015-01-22,792.8164672851562,806.0735029214092,779.7422426703556,783.0793808586604,1995155
2015-01-23,788.19921875,804.5191182023142,786.3706623387455,796.1534502995796,1531430
2015-01-27,814.1648559570312,816.2676849633932,791.3078976202253,794.4164662752793,1831293
2015-01-28,832.2218627929688,842.0503549929407,814.6677074240225,816.4962641123894,2895714
2015-01-29,805.75341796875,843.4216933755212,792.8621168465332,835.4674613668036,5326269
2015-01-30,784.2222290039062,812.3362873447633,780.8850908145565,812.3362873447633,3291034
2015-02-02,738.8283081054688,778.1422769315409,734.6226500406725,777.1365930735179,4808585
2015-02-03,744.8624877929688,755.6509597847476,733.2511430700151,740.3825021287763,3048559
2015-02-04,734.9425048828125,752.6338214416203,732.1539675481033,749.5252532567268,912365
2015-02-05,741.342529296875,755.5596013521609,738.7368584910191,742.3939716518657,1668101
2015-02-06,729.2742309570312,745.136939808388,721.1828331594436,740.5655475396248,1668283
2015-02-09,734.7598876953125,751.5368746811157,716.2457493591901,722.2799647178606,1910672
2015-02-10,751.7196044921875,758.7595583293532,731.2854516829511,733.1597667782904,2235687
2015-02-11,768.6795043945312,772.565187289181,757.0224557105821,758.8510123668879,1227804
2015-02-12,753.1369018554688,777.0453065542874,749.1140542010888,774.3938766271102,1974102
2015-02-13,755.8795166015625,763.3766091484965,745.1824502921786,753.6852265574942,1323475
2015-02-16,762.6451416015625,770.2793418374014,747.8795271489547,762.5079775577362,1584956
2015-02-18,750.6681518554688,769.8222925029529,749.4338985295906,767.1708632360311,1448399
2015-02-19,762.5994873046875,766.1651949005312,755.1938555940797,755.1938555940797,1216904
2015-02-20,754.9195556640625,764.4280159000518,752.6338600588081,762.7366234734097,699111
2015-02-23,740.19970703125,761.5938420832892,736.9997329048497,758.3938679568888,1434240
2015-02-24,731.0112915039062,743.765486483142,729.5941711291301,740.5655120483652,1141027
2015-02-25,744.0853881835938,746.0511088922417,735.994047375312,736.1769141998802,1537365
2015-02-26,724.01708984375,749.6168851343549,719.7199701879163,748.6111454089203,1600594
2015-02-27,737.9597778320312,739.7425759365408,727.8569576231663,730.5997926185604,1272026
2015-03-02,754.8282470703125,759.399639205678,736.9084122209301,753.1825570622062,1383141
2015-03-03,766.4393920898438,769.8222325383425,756.2909265474595,758.7137302582605,1617826
2015-03-04,765.0680541992188,775.4908489214006,761.045263245641,772.1080081218772,1600601
2015-03-05,762.4166870117188,769.4108824360502,757.022422788956,765.2509273844881,694150
2015-03-09,742.98828125,761.1366831454949,739.5139790748289,761.1366831454949,626456
2015-03-10,738.6910400390625,747.8795242559124,733.2510739037185,743.3081335208518,691298
2015-03-11,739.6510620117188,749.6624194381365,737.5939360666923,747.8795657918243,942306
2015-03-12,738.8283081054688,745.1368510057848,736.1769343874439,744.953984176202,979686
2015-03-13,739.1024780273438,748.5195318021163,736.5424545674673,742.3024515490797,837992
2015-03-16,760.5422973632812,764.1994101585426,739.6510628415963,743.3081756368575,1287189
2015-03-17,760.1309814453125,769.7766061022965,752.4510216010415,767.3994491013948,1384999
2015-03-18,744.4055786132812,764.1996749955017,740.5655976868711,764.1996749955017,1172762
2015-03-19,763.2393798828125,775.1706984456176,751.2623585736429,753.3651871343914,2037801
2015-03-20,740.519775390625,765.2509940866848,736.5426310075839,764.3367157186003,1245311
2015-03-23,742.0282592773438,746.051106190797,736.451183868489,746.051106190797,759196
2015-03-24,743.5824584960938,749.2509945698747,738.3710615282126,740.2453765048929,755974
2015-03-25,739.1939697265625,747.2853099681856,733.7083001924136,744.0396333211041,834390
2015-03-26,725.1139526367188,745.9595383573055,720.451156558913,734.1653283208212,1516627
2015-03-27,711.4456787109375,725.0226890921084,702.2571371890281,725.0226890921084,1557785
2015-03-30,738.234130859375,740.336960091724,713.1828795087779,713.2285822697388,847421
2015-03-31,741.7539672851562,746.9653647112069,733.2968930824895,738.6454545736146,947718
2015-04-01,751.262451171875,755.1024309926506,734.6225758172579,740.56538445797,898480
2015-04-06,753.822509765625,760.1310527871564,748.7939787726463,757.9367623962439,687263
2015-04-07,763.6052856445312,766.8966653684718,750.622521972327,753.6853321097961,769528
2015-04-08,774.256591796875,780.7937042650735,767.9938074738428,768.9080858160736,982733
2015-04-09,780.0166625976562,782.6223337942954,768.9081573843487,781.7080553669656,1019655
2015-04-10,785.7765502929688,787.8336766098548,770.9195268932357,779.8794436906039,802074
2015-04-13,788.1536865234375,791.3536609354718,779.3309334121321,786.2794269570138,805167
2015-04-15,767.1251831054688,789.0221591700587,763.422367215526,787.7879058077837,1279621
2015-04-16,751.7652587890625,765.1136983447649,741.1138953125813,763.4223059761231,1366075
