Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2015-01-01,988.8798217773438,997.2125685256316,987.1122464447332,997.2125685256316,366830
2015-01-02,1002.048828125,1006.5162772872535,990.8414147406944,990.9967663398744,925740
2015-01-05,986.8204345703125,1009.9928556127044,980.7602061878778,1002.6507397405675,1754242
2015-01-06,950.4404296875,982.4895314284563,947.8764636113134,982.4895314284563,2423784
2015-01-07,939.213134765625,963.0848320138119,935.2312781143555,959.5303345010385,2636332
2015-01-08,949.3524780273438,951.3725232159867,940.3204604018755,948.8085576950808,1565408
2015-01-09,975.9629516601562,978.9152962548053,951.7610098693139,953.7033792772104,3197642
2015-01-12,974.9530029296875,982.0620948155162,963.5124646622563,977.788881586493,1596006
2015-01-13,970.3689575195312,982.9943597983792,963.4541976836971,978.9542690060537,1468432
2015-01-14,979.711669921875,983.5381755268788,971.3789242729872,977.4002693344675,1787096
2015-01-15,986.3740844726562,1002.9424578172111,980.2167354264658,984.0043558249233,5009920
2015-01-16,983.674072265625,988.6659994334576,965.0856544861476,988.1609644338621,5293830
2015-01-19,975.4579467773438,990.9969025205113,972.3501556287101,985.1697941168234,1135074
2015-01-20,971.3590698242188,982.8384869305261,964.677340976375,978.9537498280339,2058566
2015-01-21,976.5457153320312,979.7311823649242,966.6201881520708,979.7311823649242,2310480
2015-01-22,976.4486083984375,979.4398385153866,969.4366354051153,977.5945874562103,2113214
2015-01-23,972.583740234375,983.6358087920216,969.6701846475277,976.6238327112148,3150380
2015-01-27,973.9262084960938,978.966993691794,969.0605673743652,977.9355157868088,2738736
2015-01-28,988.5426635742188,990.6056194888289,974.2570644905699,974.2960276343413,3121980
2015-01-29,990.5081176757812,999.8696288890982,978.1493909577207,987.9196349744208,3734392
2015-01-30,966.1412353515625,1002.3221256980171,961.450738048195,996.7558129450107,5817402
2015-02-02,978.6552124023438,981.4772832112345,958.3558031484393,966.1213445058113,3181802
2015-02-03,995.8019409179688,998.4293866723697,975.8917788807672,977.6627959192155,2345054
2015-02-04,978.6945190429688,1001.0375046558486,973.945672400711,999.5972939163514,2245418
2015-02-05,993.5253295898438,1008.8229300673419,980.5243696094458,980.9136210463689,4530168
2015-02-06,1002.6138305664062,1010.0290853186312,992.9215131949236,993.7583653056528,2136416
2015-02-09,978.149658203125,1000.0256596246694,973.1283539097768,997.0673114159573,2076432
2015-02-10,950.2205200195312,983.3458348439086,947.0481607818821,977.0205029028048,3799054
2015-02-11,957.519287109375,968.1653487581569,952.5952959084931,955.6314752205897,2937522
2015-02-12,958.3951416015625,965.2654847204273,952.4980218574857,965.2654847204273,3107980
2015-02-13,988.2117919921875,991.7150538840357,957.6555632688446,961.4507636516802,4158326
2015-02-16,1006.1364135742188,1010.1067563848184,994.5367100436266,996.4829658362755,2364392
2015-02-18,1025.929931640625,1028.7909660971827,998.5266839881945,1006.2338770879516,2660014
2015-02-19,1043.6021728515625,1046.0349933739444,1025.6771322362417,1026.066383519823,2618002
2015-02-20,1041.4613037109375,1050.5113961664626,1028.4992168004844,1050.5113961664626,1801588
2015-02-23,1049.674072265625,1059.5416268992615,1039.6898183129783,1039.6898183129783,1614892
